Policy_ID,Exposure,Driver_Age,Vehicle_Age,NCD,Region,Vehicle_Power,Claim_Count,Claim_Cost
POL000000,0.8993428306022466,43,3,5,Rural,,0,0.0
POL000001,0.7723471397657631,28,1,5,Urban,Low,0,0.0
POL000002,0.9295377076201385,37,1,0,Urban,High,0,0.0
POL000003,1.0,61,0,0,Suburban,Low,0,0.0
POL000004,0.7531693250553329,35,4,0,Urban,Medium,0,0.0
POL000005,0.7531726086101639,51,5,3,Urban,Medium,0,0.0
POL000006,1.0,21,12,1,Urban,High,0,0.0
POL000007,0.9534869458305818,31,11,0,Urban,Medium,0,0.0
POL000008,0.7061051228130096,30,2,1,Urban,Low,0,0.0
POL000009,0.908512008717193,58,3,4,Urban,Low,0,0.0
POL000010,0.7073164614375076,74,15,0,Urban,High,0,0.0
POL000011,0.7068540492859486,39,7,2,Suburban,Low,0,0.0
POL000012,0.8483924543132069,27,11,3,Suburban,Low,0,0.0
POL000013,0.41734395106844047,67,4,2,Urban,Medium,0,0.0
POL000014,0.45501643349739346,33,6,5,Rural,Medium,0,0.0
POL000015,0.6875424941518055,28,13,4,Urban,Low,0,0.0
POL000016,0.5974337759331153,84,18,0,Suburban,High,0,0.0
POL000017,0.8628494665190548,37,4,2,Urban,High,0,0.0
POL000018,0.6183951848957578,82,10,1,Urban,Medium,0,0.0
POL000019,0.5175392597329418,50,3,1,Suburban,Low,0,0.0
POL000020,1.0,27,8,1,Urban,Medium,0,0.0
POL000021,0.754844739902693,84,7,3,Urban,Medium,0,0.0
POL000022,0.8135056409375848,72,10,5,Suburban,Medium,0,0.0
POL000023,0.5150503627573086,49,15,5,Urban,Low,0,0.0
POL000024,0.6911234550949635,62,10,2,Urban,Medium,0,0.0
POL000025,0.8221845179419732,76,11,5,Rural,Low,0,0.0
POL000026,0.5698012845155395,48,13,2,Suburban,Low,0,0.0
POL000027,0.8751396036691345,69,16,2,Suburban,High,0,0.0
POL000028,0.6798722620162391,27,9,1,Urban,Medium,0,0.0
POL000029,0.7416612500413446,23,4,0,Urban,Low,0,0.0
POL000030,0.6796586775541207,18,7,1,Suburban,,0,0.0
POL000031,1.0,63,8,4,Rural,Medium,0,0.0
POL000032,0.7973005550524133,47,17,0,Urban,Low,0,0.0
POL000033,0.5884578142088199,80,19,2,Urban,High,0,0.0
POL000034,0.9645089824206379,80,7,5,Urban,Low,0,0.0
POL000035,0.5558312700057956,18,6,0,Suburban,Medium,0,0.0
POL000036,0.8417727190009512,37,15,1,Rural,Medium,0,0.0
POL000037,0.4080659752240449,46,8,0,Urban,Low,0,0.0
POL000038,0.5343627902203139,51,6,4,Suburban,High,0,0.0
POL000039,0.8393722471738247,83,13,0,Rural,Low,0,0.0
POL000040,0.9476933159990821,83,4,2,Suburban,Low,0,0.0
